customer_id,segment,plan_tier,monthly_spend,tenure_months,support_tickets,churned
CUST-1112,Startup,Pro,50.4,33,1,0
CUST-1113,SMB,Basic,112.4,21,4,0
CUST-1114,SMB,Enterprise,127.86,17,6,0
CUST-1115,Startup,Enterprise,124.12,22,2,0
CUST-1116,SMB,Basic,31.51,37,1,0
CUST-1117,Enterprise,Basic,271.92,15,1,0
CUST-1118,Startup,Pro,57.04,35,3,0
CUST-1119,SMB,Pro,36.64,28,3,0
CUST-1120,SMB,Basic,283.51,7,5,0
CUST-1121,Startup,Basic,393.88,32,3,0
CUST-1122,Mid-Market,Basic,257.77,11,3,0
CUST-1123,Enterprise,Basic,218.98,10,1,0
CUST-1124,Mid-Market,Pro,147.79,9,3,0
CUST-1125,Mid-Market,Basic,116.05,14,1,0
CUST-1126,SMB,Basic,30.92,13,1,0
CUST-1127,Startup,Pro,83.0,25,1,0
CUST-1128,Enterprise,Basic,75.96,2,2,0
CUST-1129,SMB,Basic,56.09,35,1,0
CUST-1130,Mid-Market,Pro,174.23,7,2,0
CUST-1131,Mid-Market,Enterprise,102.19,21,3,1
CUST-1132,Enterprise,Pro,30.14,18,3,0
CUST-1133,Mid-Market,Pro,49.84,3,3,0
CUST-1134,Startup,Basic,157.96,42,2,0
CUST-1135,Mid-Market,Basic,29.5,39,0,0
CUST-1136,SMB,Pro,248.62,41,3,0
CUST-1137,SMB,Basic,102.02,11,3,0
CUST-1138,Mid-Market,Basic,98.61,39,3,1
CUST-1139,Startup,Basic,127.7,24,1,0
CUST-1140,Startup,Basic,228.94,46,4,0
CUST-1141,Mid-Market,Basic,71.29,19,2,0
CUST-1142,Mid-Market,Basic,155.99,4,2,1
CUST-1143,Mid-Market,Basic,120.09,26,4,0
CUST-1144,Mid-Market,Basic,57.28,38,1,1
CUST-1145,Enterprise,Enterprise,273.07,42,2,0
CUST-1146,SMB,Pro,211.6,32,4,1
CUST-1147,SMB,Pro,148.91,39,6,1
CUST-1148,Enterprise,Pro,248.12,45,2,0
CUST-1149,Mid-Market,Basic,262.35,46,4,0
CUST-1150,Startup,Basic,167.87,36,1,0
CUST-1151,Mid-Market,Pro,237.69,40,3,0
CUST-1152,Enterprise,Pro,163.47,37,5,0
CUST-1153,Mid-Market,Pro,156.78,33,1,0
CUST-1154,Startup,Basic,135.67,36,1,0
CUST-1155,Mid-Market,Basic,187.67,3,2,0
CUST-1156,SMB,Basic,40.72,9,6,1
CUST-1157,SMB,Basic,275.31,8,1,0
CUST-1158,Mid-Market,Pro,266.54,33,3,0
CUST-1159,SMB,Pro,23.56,6,1,0
CUST-1160,Mid-Market,Basic,229.72,41,3,1
CUST-1161,SMB,Enterprise,36.56,39,3,0
CUST-1162,SMB,Pro,68.98,4,3,0
CUST-1163,SMB,Basic,183.28,13,2,0
CUST-1164,Enterprise,Basic,41.03,2,1,0
CUST-1165,SMB,Basic,224.43,5,3,0
CUST-1166,Mid-Market,Basic,234.15,44,1,1
CUST-1167,Enterprise,Basic,104.98,27,4,1
CUST-1168,Enterprise,Basic,20.77,32,0,0
CUST-1169,SMB,Basic,60.6,21,3,1
CUST-1170,SMB,Basic,135.14,8,5,0
CUST-1171,Enterprise,Enterprise,496.78,38,2,0
CUST-1172,SMB,Basic,139.9,8,2,1
CUST-1173,Mid-Market,Pro,56.1,3,1,0
CUST-1174,SMB,Basic,140.62,44,3,0
CUST-1175,Enterprise,Enterprise,113.18,3,1,0
CUST-1176,SMB,Basic,201.61,22,2,0
CUST-1177,Mid-Market,Basic,33.58,6,2,0
CUST-1178,Startup,Enterprise,191.77,2,2,0
CUST-1179,Enterprise,Enterprise,113.51,23,2,0
CUST-1180,Mid-Market,Pro,415.59,44,5,1
CUST-1181,Enterprise,Basic,70.2,2,2,0
CUST-1182,Startup,Basic,140.16,38,3,1
CUST-1183,Startup,Pro,342.64,17,3,1
CUST-1184,Mid-Market,Enterprise,32.98,35,3,0
CUST-1185,SMB,Pro,352.19,34,4,0
CUST-1186,SMB,Pro,159.73,23,4,0
CUST-1187,SMB,Basic,28.43,30,3,0
CUST-1188,SMB,Pro,62.97,8,3,1
CUST-1189,Mid-Market,Basic,167.79,22,0,0
CUST-1190,Enterprise,Basic,28.37,44,2,0
CUST-1191,Startup,Basic,124.72,36,2,0
CUST-1192,Startup,Pro,70.94,5,3,0
CUST-1193,SMB,Basic,136.4,13,3,0
CUST-1194,Mid-Market,Basic,25.62,29,3,0
CUST-1195,Mid-Market,Pro,266.25,31,5,0
CUST-1196,SMB,Basic,455.62,47,5,0
CUST-1197,Startup,Pro,436.38,16,0,0
CUST-1198,Startup,Basic,186.19,42,2,0
CUST-1199,SMB,Basic,36.72,30,1,0
CUST-1200,SMB,Pro,190.39,16,0,1
CUST-1201,Enterprise,Basic,22.99,12,5,0
CUST-1202,Enterprise,Basic,22.68,17,5,0
CUST-1203,Startup,Basic,66.92,16,4,0
CUST-1204,SMB,Basic,100.48,12,2,0
CUST-1205,Enterprise,Enterprise,196.57,8,0,1
CUST-1206,Enterprise,Basic,157.97,20,2,0
CUST-1207,SMB,Pro,90.85,3,0,0
CUST-1208,Enterprise,Basic,58.36,16,5,0
CUST-1209,Enterprise,Pro,722.18,30,2,0
CUST-1210,SMB,Pro,86.65,45,1,0
CUST-1211,SMB,Pro,92.04,23,3,0
CUST-1212,SMB,Basic,41.44,28,1,0
CUST-1213,Mid-Market,Basic,210.06,40,2,0
CUST-1214,SMB,Basic,161.98,5,2,0
CUST-1215,Mid-Market,Enterprise,49.93,20,1,1
CUST-1216,Mid-Market,Pro,30.32,40,4,1
CUST-1217,SMB,Enterprise,156.92,44,1,0
CUST-1218,SMB,Basic,147.54,1,1,0
CUST-1219,SMB,Pro,58.3,30,3,1
CUST-1220,SMB,Enterprise,381.58,21,0,0
CUST-1221,SMB,Basic,39.65,20,2,1
CUST-1222,Enterprise,Basic,87.95,6,3,1
CUST-1223,Mid-Market,Pro,365.07,22,4,0
CUST-1224,Mid-Market,Pro,85.31,18,1,0
CUST-1225,Mid-Market,Pro,142.11,8,2,0
CUST-1226,Startup,Basic,80.82,39,3,0
CUST-1227,Mid-Market,Pro,58.46,32,4,1
CUST-1228,Startup,Basic,516.05,33,1,0
CUST-1229,SMB,Basic,83.18,16,5,1
CUST-1230,SMB,Basic,289.43,12,2,0
CUST-1231,SMB,Pro,51.36,38,3,0
CUST-1232,SMB,Pro,48.76,34,5,0
CUST-1233,Mid-Market,Pro,23.8,14,2,0
CUST-1234,Enterprise,Basic,146.55,36,0,0
CUST-1235,SMB,Enterprise,75.16,33,4,0
CUST-1236,Mid-Market,Basic,259.73,23,2,1
CUST-1237,Enterprise,Pro,96.91,45,1,0
CUST-1238,SMB,Basic,433.77,2,3,0
CUST-1239,Enterprise,Basic,44.63,41,2,0
CUST-1240,Startup,Basic,263.56,21,3,1
CUST-1241,Startup,Basic,199.85,2,1,0
CUST-1242,Startup,Pro,196.84,27,1,0
CUST-1243,Mid-Market,Pro,243.55,9,3,1
CUST-1244,Enterprise,Basic,191.77,1,6,1
CUST-1245,Startup,Enterprise,138.09,11,0,0
CUST-1246,Mid-Market,Basic,36.88,3,2,0
CUST-1247,Startup,Pro,23.97,23,2,0
CUST-1248,Startup,Enterprise,324.37,26,3,0
CUST-1249,Startup,Pro,135.06,4,0,1
CUST-1250,Mid-Market,Basic,211.07,18,4,0
CUST-1251,Mid-Market,Enterprise,98.82,6,6,1
CUST-1252,Startup,Pro,34.97,35,3,0
CUST-1253,Mid-Market,Basic,36.05,22,2,0
CUST-1254,Enterprise,Basic,158.84,43,3,0
CUST-1255,SMB,Pro,87.52,15,1,0
CUST-1256,Startup,Pro,46.86,22,2,0
CUST-1257,SMB,Pro,101.18,37,2,1
CUST-1258,SMB,Enterprise,27.96,42,2,0
CUST-1259,Enterprise,Pro,124.66,12,3,0
CUST-1260,SMB,Basic,57.6,47,5,0
CUST-1261,Startup,Basic,211.68,42,3,0
CUST-1262,Enterprise,Basic,64.59,38,4,0
CUST-1263,SMB,Pro,92.88,18,1,0
CUST-1264,Startup,Basic,21.4,45,4,0
CUST-1265,SMB,Pro,29.02,35,4,1
CUST-1266,SMB,Pro,79.81,30,5,0
CUST-1267,SMB,Enterprise,98.46,24,3,0
CUST-1268,Mid-Market,Basic,129.96,42,5,0
CUST-1269,Mid-Market,Pro,61.38,30,0,0
CUST-1270,SMB,Basic,162.49,14,4,0
CUST-1271,SMB,Pro,256.04,6,0,1
CUST-1272,Startup,Basic,201.61,3,3,1
CUST-1273,Startup,Basic,24.85,16,6,0
CUST-1274,SMB,Pro,98.59,7,5,0
CUST-1275,SMB,Basic,33.3,14,2,0
CUST-1276,SMB,Basic,53.26,9,2,0
CUST-1277,SMB,Pro,538.06,15,4,0
CUST-1278,SMB,Pro,38.45,21,3,0
CUST-1279,SMB,Pro,102.91,35,1,0
CUST-1280,Startup,Pro,135.53,2,0,0
CUST-1281,Mid-Market,Pro,165.47,27,4,0
CUST-1282,Mid-Market,Basic,118.42,2,5,1
CUST-1283,Enterprise,Basic,21.18,35,3,0
CUST-1284,SMB,Basic,67.43,18,6,0
CUST-1285,Enterprise,Enterprise,107.51,14,1,0
CUST-1286,Mid-Market,Pro,31.04,20,2,1
CUST-1287,SMB,Basic,71.81,18,2,1
CUST-1288,Mid-Market,Basic,24.05,10,2,0
CUST-1289,SMB,Enterprise,29.82,25,4,0
CUST-1290,Enterprise,Basic,80.69,2,3,0
CUST-1291,Enterprise,Pro,37.09,25,0,0
CUST-1292,SMB,Pro,120.59,33,0,0
CUST-1293,Mid-Market,Pro,160.34,36,2,0
CUST-1294,Enterprise,Basic,213.49,31,4,0
CUST-1295,SMB,Enterprise,46.8,14,3,0
CUST-1296,SMB,Enterprise,42.0,1,4,0
CUST-1297,Mid-Market,Pro,33.25,46,2,1
CUST-1298,SMB,Pro,141.41,16,3,0
CUST-1299,Enterprise,Enterprise,167.1,46,2,0
CUST-1300,Enterprise,Pro,23.85,3,7,0
CUST-1301,SMB,Basic,350.26,35,1,0
CUST-1302,SMB,Pro,26.4,41,1,0
CUST-1303,SMB,Pro,113.52,6,2,0
CUST-1304,SMB,Basic,168.16,25,2,1
CUST-1305,Startup,Pro,265.72,13,1,0
CUST-1306,SMB,Enterprise,170.25,34,5,0
CUST-1307,Mid-Market,Enterprise,214.17,8,0,1
CUST-1308,SMB,Basic,69.76,21,3,0
CUST-1309,Mid-Market,Basic,222.37,34,2,0
CUST-1310,Mid-Market,Enterprise,30.02,4,2,0
CUST-1311,Enterprise,Pro,290.25,25,1,0
CUST-1312,Enterprise,Basic,115.18,15,2,0
CUST-1313,Startup,Enterprise,223.99,4,1,0
CUST-1314,SMB,Enterprise,92.25,45,5,0
CUST-1315,SMB,Pro,143.8,12,2,0
CUST-1316,Mid-Market,Pro,109.69,32,1,1
CUST-1317,Enterprise,Basic,177.83,32,3,0
CUST-1318,Enterprise,Basic,30.22,28,1,0
CUST-1319,Mid-Market,Basic,27.47,13,3,1
CUST-1320,SMB,Pro,54.06,31,2,0
CUST-1321,SMB,Basic,40.86,14,4,0
CUST-1322,SMB,Basic,266.48,20,1,1
CUST-1323,Mid-Market,Basic,49.69,18,4,0
CUST-1324,Startup,Pro,466.89,29,1,0
CUST-1325,SMB,Enterprise,69.3,6,1,0
CUST-1326,SMB,Basic,44.12,32,1,0
CUST-1327,SMB,Basic,207.11,29,2,0
CUST-1328,Mid-Market,Pro,149.0,43,0,0
CUST-1329,Mid-Market,Basic,102.75,2,1,0
CUST-1330,Mid-Market,Basic,117.26,23,2,0
CUST-1331,SMB,Basic,172.41,19,4,1
CUST-1332,Enterprise,Basic,51.12,31,4,0
CUST-1333,Enterprise,Basic,693.04,5,2,1
CUST-1334,Enterprise,Basic,461.68,19,2,0
CUST-1335,Enterprise,Basic,146.09,34,4,1
CUST-1336,Startup,Enterprise,46.71,10,2,0
CUST-1337,SMB,Basic,156.82,25,2,0
CUST-1338,Mid-Market,Pro,28.99,2,5,0
CUST-1339,Enterprise,Pro,23.74,11,3,0
CUST-1340,Mid-Market,Basic,55.76,31,5,0
CUST-1341,Mid-Market,Pro,94.53,15,1,1
CUST-1342,Enterprise,Basic,263.24,9,0,1
CUST-1343,Mid-Market,Enterprise,175.87,23,1,0
CUST-1344,Mid-Market,Basic,182.9,19,5,0
CUST-1345,SMB,Basic,86.51,9,1,0
CUST-1346,SMB,Basic,70.95,35,2,0
CUST-1347,Enterprise,Enterprise,75.64,21,1,0
CUST-1348,Mid-Market,Pro,547.29,9,3,1
CUST-1349,SMB,Pro,24.91,28,7,1
CUST-1350,SMB,Basic,262.12,46,2,0
CUST-1351,Startup,Pro,123.72,7,3,0
CUST-1352,SMB,Basic,89.28,16,2,0
CUST-1353,Enterprise,Enterprise,175.03,16,0,0
CUST-1354,Enterprise,Basic,100.02,33,4,0
CUST-1355,SMB,Basic,268.03,4,2,0
CUST-1356,Enterprise,Basic,297.16,4,2,1
CUST-1357,SMB,Basic,85.72,39,3,0
CUST-1358,Startup,Pro,58.89,40,4,0
CUST-1359,SMB,Basic,127.68,17,4,1
CUST-1360,Mid-Market,Pro,312.15,37,0,0
CUST-1361,SMB,Basic,48.39,39,1,0
CUST-1362,Mid-Market,Pro,137.05,29,2,0
CUST-1363,SMB,Basic,139.82,36,1,0
CUST-1364,Startup,Basic,178.51,38,3,1
CUST-1365,Mid-Market,Pro,36.93,39,5,0
CUST-1366,Startup,Basic,170.98,37,3,0
CUST-1367,Startup,Basic,307.67,35,3,0
CUST-1368,Enterprise,Enterprise,43.77,7,1,1
CUST-1369,Enterprise,Enterprise,52.55,27,6,0
CUST-1370,Enterprise,Basic,446.5,28,3,0
CUST-1371,Enterprise,Basic,43.96,22,2,0
CUST-1372,Enterprise,Pro,251.21,14,1,0
CUST-1373,SMB,Basic,101.34,7,1,0
CUST-1374,Enterprise,Basic,54.08,37,0,1
CUST-1375,Mid-Market,Basic,265.52,22,3,1
CUST-1376,SMB,Pro,90.72,5,3,0
CUST-1377,Enterprise,Pro,106.79,2,3,0
CUST-1378,SMB,Basic,73.41,27,3,0
CUST-1379,Mid-Market,Basic,127.86,21,4,0
CUST-1380,Enterprise,Basic,41.43,38,5,0
CUST-1381,SMB,Pro,79.53,15,5,1
CUST-1382,SMB,Basic,438.46,21,1,0
CUST-1383,Startup,Basic,55.83,10,4,0
CUST-1384,SMB,Pro,148.31,23,2,0
CUST-1385,SMB,Basic,67.2,39,1,1
CUST-1386,Mid-Market,Pro,198.19,5,1,0
CUST-1387,Enterprise,Basic,36.83,1,1,1
CUST-1388,SMB,Basic,440.07,13,2,1
CUST-1389,SMB,Basic,92.57,21,6,0
CUST-1390,Startup,Pro,52.31,26,1,0
CUST-1391,Mid-Market,Enterprise,29.16,45,3,0
CUST-1392,Mid-Market,Pro,42.32,21,1,0
CUST-1393,SMB,Basic,108.02,18,5,0
CUST-1394,Mid-Market,Pro,69.32,37,2,0
CUST-1395,Startup,Basic,231.85,45,2,0
CUST-1396,Startup,Basic,87.64,32,5,0
CUST-1397,Mid-Market,Enterprise,54.32,36,2,0
CUST-1398,SMB,Basic,135.21,17,2,0
CUST-1399,SMB,Basic,167.22,35,3,0
CUST-1400,Enterprise,Basic,41.93,11,4,0
CUST-1401,Startup,Basic,42.02,21,2,0
CUST-1402,SMB,Basic,24.48,26,2,0
CUST-1403,SMB,Pro,180.0,4,2,0
CUST-1404,Mid-Market,Basic,150.81,34,1,0
CUST-1405,Startup,Enterprise,97.24,18,1,0
CUST-1406,Mid-Market,Pro,243.08,40,2,0
CUST-1407,Enterprise,Basic,216.58,35,6,0
CUST-1408,Startup,Basic,125.64,41,2,0
CUST-1409,Enterprise,Basic,263.24,29,2,0
CUST-1410,Mid-Market,Pro,47.66,29,6,0
CUST-1411,Startup,Basic,34.24,38,2,0
CUST-1412,Startup,Pro,57.72,42,7,0
CUST-1413,SMB,Basic,27.05,21,4,0
CUST-1414,SMB,Pro,110.9,42,3,0
CUST-1415,Mid-Market,Basic,351.01,13,1,0
CUST-1416,Mid-Market,Basic,24.82,41,4,0
CUST-1417,Mid-Market,Enterprise,35.63,17,0,1
CUST-1418,SMB,Pro,92.22,9,2,0
CUST-1419,SMB,Basic,345.95,41,1,0
CUST-1420,SMB,Enterprise,65.6,1,0,0
CUST-1421,SMB,Basic,104.93,2,2,0
CUST-1422,Enterprise,Enterprise,25.1,29,6,0
CUST-1423,Mid-Market,Pro,39.27,33,1,0
CUST-1424,Enterprise,Basic,537.77,10,1,0
CUST-1425,SMB,Basic,422.7,40,4,0
CUST-1426,Mid-Market,Basic,20.59,21,0,1
CUST-1427,Startup,Pro,383.92,28,5,0
CUST-1428,Mid-Market,Pro,142.31,11,1,0
CUST-1429,Enterprise,Basic,262.92,34,1,0
CUST-1430,Enterprise,Basic,92.78,8,3,0
CUST-1431,SMB,Pro,106.98,22,3,0
CUST-1432,SMB,Enterprise,100.53,8,2,0
CUST-1433,Enterprise,Pro,151.9,15,3,1
CUST-1434,Enterprise,Basic,38.05,17,2,0
CUST-1435,SMB,Basic,23.65,23,5,0
CUST-1436,Enterprise,Basic,64.17,24,3,1
CUST-1437,SMB,Enterprise,166.36,45,6,0
CUST-1438,SMB,Basic,47.06,19,1,1
CUST-1439,Enterprise,Pro,154.29,5,4,0
CUST-1440,Enterprise,Basic,440.44,32,3,0
CUST-1441,Startup,Pro,31.83,44,3,0
CUST-1442,Mid-Market,Pro,153.99,1,1,0
CUST-1443,Mid-Market,Pro,90.38,23,7,0
CUST-1444,SMB,Basic,263.12,37,2,0
CUST-1445,Startup,Basic,43.4,8,6,1
CUST-1446,Startup,Basic,161.56,13,2,1
CUST-1447,SMB,Enterprise,238.5,8,2,0
CUST-1448,Mid-Market,Enterprise,367.21,23,9,0
CUST-1449,Enterprise,Pro,157.96,43,2,0
CUST-1450,SMB,Pro,102.5,1,5,0
CUST-1451,SMB,Pro,135.43,45,0,0
CUST-1452,Mid-Market,Basic,263.82,24,1,0
CUST-1453,Startup,Enterprise,121.45,35,0,0
CUST-1454,Enterprise,Basic,23.7,24,3,0
CUST-1455,Mid-Market,Basic,340.75,17,1,1
CUST-1456,Enterprise,Pro,160.36,5,3,0
CUST-1457,Mid-Market,Basic,155.43,20,0,0
CUST-1458,Enterprise,Basic,49.15,21,3,0
CUST-1459,Enterprise,Pro,149.06,40,4,0
CUST-1460,Enterprise,Basic,80.08,31,3,0
CUST-1461,SMB,Pro,146.4,46,6,0
CUST-1462,SMB,Basic,33.53,36,2,0
CUST-1463,SMB,Basic,148.7,11,2,0
CUST-1464,Startup,Basic,913.01,15,2,0
CUST-1465,Mid-Market,Basic,25.93,19,4,1
CUST-1466,Mid-Market,Pro,473.58,7,0,0
CUST-1467,Startup,Basic,82.69,28,3,0
CUST-1468,Mid-Market,Pro,265.52,43,1,0
CUST-1469,Startup,Basic,203.0,5,1,0
CUST-1470,Enterprise,Pro,120.45,5,7,0
CUST-1471,Startup,Enterprise,180.94,30,1,0
CUST-1472,Enterprise,Pro,272.96,32,1,0
CUST-1473,Startup,Basic,82.13,8,2,0
CUST-1474,SMB,Basic,67.53,10,3,0
CUST-1475,Startup,Basic,152.17,38,5,0
CUST-1476,Enterprise,Pro,217.93,47,3,0
CUST-1477,SMB,Basic,192.4,32,3,0
CUST-1478,Startup,Basic,211.83,28,3,0
CUST-1479,SMB,Pro,88.64,17,4,0
CUST-1480,SMB,Basic,224.34,31,3,0
CUST-1481,SMB,Pro,35.37,8,1,0
CUST-1482,Mid-Market,Basic,114.36,40,1,0
CUST-1483,SMB,Basic,20.69,25,3,0
CUST-1484,SMB,Pro,67.09,9,1,0
CUST-1485,Startup,Basic,74.77,2,1,1
CUST-1486,Enterprise,Pro,80.54,15,2,1
CUST-1487,Mid-Market,Basic,162.68,3,3,0
CUST-1488,Startup,Basic,79.03,36,4,0
CUST-1489,Startup,Pro,91.46,4,2,0
CUST-1490,Mid-Market,Pro,52.55,14,3,0
CUST-1491,SMB,Pro,76.07,41,3,0
CUST-1492,Mid-Market,Basic,50.94,41,0,1
CUST-1493,Enterprise,Pro,29.12,25,2,0
CUST-1494,Mid-Market,Basic,130.99,10,3,0
CUST-1495,Mid-Market,Basic,152.39,21,1,1
CUST-1496,SMB,Enterprise,135.95,36,4,1
CUST-1497,Enterprise,Basic,94.72,12,0,0
CUST-1498,Startup,Enterprise,77.32,27,1,0
CUST-1499,Startup,Basic,258.83,40,2,0
